Code secteur;Libelle secteur;Code site;Libelle site;Code batiment;Libelle batiment;Lattitude/longitude;Adresse numero;Adresse rue;Adresse code postal;Adresse ville;Code salle;Libellé salle;Numero piece
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;312;Salle de cours;
17;TALENCE;1;PEIXOTTO;A01;Bâtiment A01;44.808524/-0.592029;351;cours de la libération;33405;TALENCE;312;Salle TP;
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;312;Salle TP;
17;TALENCE;1;PEIXOTTO;A21;Bâtiment A21;44.806464/-0.597934;351;cours de la libération;33405;TALENCE;312;Salle de cours;309
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;312;Salle Informatique;
17;TALENCE;1;PEIXOTTO;A21;Bâtiment A21;44.806464/-0.597934;351;cours de la libération;33405;TALENCE;313;Salle de cours;306
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;314;Salle TP;
16;PESSAC;5;ROCQUENCOURT;R1;STAPS;44.793387/-0.614536;12;avenue Camille Jullian;33600;PESSAC;315;Salle TP;
16;PESSAC;5;ROCQUENCOURT;R1;STAPS;44.793387/-0.614536;12;avenue Camille Jullian;33600;PESSAC;316;Salle TP;
17;TALENCE;1;PEIXOTTO;A22;Bâtiment A22;44.807202/-0.598968;351;cours de la libération;33405;TALENCE;316;Salle TP;316
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;316;Salle informatique;
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;317;Salle informatique;
16;PESSAC;5;ROCQUENCOURT;R1;STAPS;44.793387/-0.614536;12;avenue Camille Jullian;33600;PESSAC;317;Salle de cours;
17;TALENCE;1;PEIXOTTO;A21;Bâtiment A21;44.806464/-0.597934;351;cours de la libération;33405;TALENCE;318;Salle de cours;307
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;318;Salle TP;
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;319;Salle informatique;
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;320;Salle TD;
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;320;Salle TP;
